area_name,BA or greater,High school,Some college,Less than high school,Total
United States,47827400,62341425,18115100,37129975,165413900
Alabama,540340,903615,252290,533045,2229290
Alaska,79780,123302.5,41970,92367.5,337420
Arizona,1029460,1457102.5,423030,839067.5,3748660
Arkansas,356100,602107.5,176280,341442.5,1475930
California,6384000,7265275,1956400,4739525,20345200
Colorado,1070910,1150292.5,374270,765957.5,3361430
Connecticut,583700,658880,225110,385280,1852970
Delaware,130980,155035,56250,117195,459460
District of Columbia,482540,175262.5,43220,118637.5,819660
Florida,2764710,3972862.5,1216440,2732287.5,10686300
Georgia,1389210,1922635,545760,1269705,5127310
Hawaii,168760,249812.5,62330,197037.5,677940
Idaho,214840,368652.5,109890,238277.5,931660
Illinois,1886240,2470067.5,657630,1448232.5,6462170
Indiana,804760,1417542.5,368760,802787.5,3393850
Iowa,483330,807592.5,237270,450707.5,1978900
Kansas,406980,568242.5,184770,338757.5,1498750
Kentucky,483810,839745,245340,469975,2038870
Louisiana,428480,771402.5,231170,487167.5,1918220
Maine,182200,244870,82690,151660,661420
Maryland,1184420,1186147.5,377260,679452.5,3427280
Massachusetts,1588080,1376412.5,428120,806527.5,4199140
Michigan,1265810,1818947.5,492160,1024502.5,4601420
Minnesota,934080,1212020,346420,629530,3122050
Mississippi,276560,511070,146660,342480,1276770
Missouri,825930,1245310,345580,691620,3108440
Montana,133760,207362.5,63190,149327.5,553640
Nebraska,313300,449985,140810,284795,1188890
Nevada,322350,623620,141410,497570,1584950
New Hampshire,205550,269345,90110,154425,719430
New Jersey,1360240,1598137.5,522720,1050222.5,4531320
New Mexico,230640,344337.5,103100,224542.5,902620
New York,3704290,4629940,1188120,2504220,12026570
North Carolina,1415060,1983065,552150,1259765,5210040
North Dakota,111120,198935,62220,117485,489760
Ohio,1563990,2311915,666890,1258645,5801440
Oklahoma,455310,705495,232600,437605,1831010
Oregon,629880,875055,234070,552005,2291010
Pennsylvania,1706620,2495722.5,744350,1400687.5,6347380
Rhode Island,157440,179007.5,62730,120692.5,519870
South Carolina,549510,998667.5,257890,623882.5,2429950
South Dakota,117980,184512.5,62370,125007.5,489870
Tennessee,925250,1429825,433590,895815,3684480
Texas,3935410,6028100,1646880,3620400,15230790
Utah,616930,769517.5,217490,433472.5,2037410
Vermont,104100,133382.5,36380,69807.5,343670
Virginia,1438580,1567530,481330,933640,4421080
Washington,1453150,1497142.5,476570,1062937.5,4489800
West Virginia,181180,278882.5,87660,166927.5,714650
Wisconsin,811680,1323087.5,363320,706332.5,3204420
Wyoming,68730,120362.5,37260,81347.5,307700
